Designator,Footprint,Quantity,Value,Manufacturer,Partnumber,LCSC Part #,Function
"C1, C5",CC0603_100NF:C0603,2,100nF 50V X7R 0603,YAGEO,CC0603KRX7R9BB104,C14663,"HF decoupling (buck bootstrap, 5V rail)"
"C2, C3, C4, C7",CAP0805_22UF_25V:C0805,4,22uF 25V X5R 0805,YAGEO,CC0805MKX5R8BB226,C784585,buck input/output + VM ceramic
C6,CAP_470UF_25V:CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,1,"470uF 25V, 80mOhm ESR",SamYoung Electronics,BXJ25V470M10*10 10.0TP,C3002464,VM bulk reservoir for the motor
D1,LED_0603_GREEN:LED0603-RD,1,green LED 0603,Hubei KENTO Elec,KT-0603G,C12624,5V power-good indicator
J1,XY_B3B_XH_A:CONN-TH_3P-P2.50_A2501WV2-3P,1,JST-XH 3P vertical,XINGYE,XY-B3B-XH-A,C51940188,hall sensor: 5V GND DO
J2,XH_4AW:CONN-TH_XH2.54-4AW,1,JST-XH 4P right-angle,BOOMELE(Boom Precision Elec),XH-4AW,C21273,stepper motor; pads run B2 B1 A2 A1 left to right
J3,DC_005:DC-IN-TH_DC-005-5.5-2.0,1,5.5x2.1mm barrel jack,BOOMELE(Boom Precision Elec),DC-005 2.0,C16214,"12V input, centre positive"
"J4, J5",KH_2_54_1X8_FEMALE:HDR-TH_8P-P2.54-V-M,2,1x8 2.54mm socket,Shenzhen Kinghelm Elec,KH-2.54PH180-1X8P-L11.5,C2905487,TMC2209 StepStick socket row
"J6, J7",KH_2_54_1X7_FEMALE:HDR-TH_7P-P2.54-V-M,2,1x7 2.54mm socket,KH,KH-2.54PH180-1X7P-L11.5,C2932700,XIAO ESP32-C6 socket row
L1,IND_4U7_3A:IND-SMD_L5.0-W5.0,1,4.7uH 3A shielded,CENKER,CKCS5040-4.7uH/M,C354606,buck output inductor
Q1,AO3401A:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,-30V -4A P-MOSFET,Alpha & Omega Semiconductor,AO3401A,C15127,reverse-polarity gate on the 12V input
"R1, R5",R0603_100K:R0603,2,100k 1% 0603,UNI-ROYAL(Uniroyal Elec),0603WAF1003T5E,C25803,"enable + gate dividers, high side"
"R2, R3, R6",R0603_56K:R0603,3,56k 1% 0603,UNI-ROYAL(Uniroyal Elec),0603WAF5602T5E,C23206,feedback / enable / gate dividers
R4,R0603_10K:R0603,1,10k 1% 0603,YAGEO,RC0603FR-0710KL,C98220,"buck feedback divider, low side"
"R7, R8",R0603_1K:R0603,2,1k 1% 0603,YAGEO,RC0603FR-071KL,C22548,PDN_UART series + LED ballast
U1,TPS563201:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,12V->5V 3A buck,Texas Instruments,TPS563201DDCR,C116592,makes the 5V rail for the XIAO

# not fitted — order separately
-,-,1,TMC2209 SilentStepStick,Trinamic/clone,TMC2209 SilentStepStick,-,"socketed stepper driver, 2x8 header"
-,-,1,Seeed XIAO ESP32-C6,Seeed Studio,XIAO ESP32-C6,-,"socketed controller, on 2x 1x7 pin headers"
-,-,1,"12V >=2A PSU, 5.5x2.1 barrel",-,-,-,centre positive; ~1.0A typical draw
