Designator,Footprint,Quantity,Value,Manufacturer,Partnumber,LCSC Part #
"C1, C5",CC0603_100NF:C0603,2,,YAGEO,CC0603KRX7R9BB104,C14663
"C2, C3, C4, C7",CAP0805_22UF_25V:C0805,4,,YAGEO,CC0805MKX5R8BB226,C784585
C6,CAP_470UF_25V:CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,1,,SamYoung Electronics,BXJ25V470M10*10 10.0TP,C3002464
D1,LED_0603_GREEN:LED0603-RD,1,,Hubei KENTO Elec,KT-0603G,C12624
J1,XY_B3B_XH_A:CONN-TH_3P-P2.50_A2501WV2-3P,1,,XINGYE,XY-B3B-XH-A,C51940188
J2,XH_4AW:CONN-TH_XH2.54-4AW,1,,BOOMELE(Boom Precision Elec),XH-4AW,C21273
J3,DC_005:DC-IN-TH_DC-005-5.5-2.0,1,,BOOMELE(Boom Precision Elec),DC-005 2.0,C16214
"J4, J5",KH_2_54_1X8_FEMALE:HDR-TH_8P-P2.54-V-F,2,,Shenzhen Kinghelm Elec,KH-2.54FH-1X8P-H8.5,C2905417
"J6, J7",KH_2_54_1X7_FEMALE:HDR-TH_7P-P2.54-V-F,2,,Shenzhen Kinghelm Elec,KH-2.54FH-1X7P-H8.5,C2932672
L1,IND_4U7_3A:IND-SMD_L5.0-W5.0,1,,CENKER,CKCS5040-4.7uH/M,C354606
Q1,AO3401A:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,,Alpha & Omega Semiconductor,AO3401A,C15127
"R1, R5",R0603_100K:R0603,2,,UNI-ROYAL(Uniroyal Elec),0603WAF1003T5E,C25803
"R2, R3, R6",R0603_56K:R0603,3,,UNI-ROYAL(Uniroyal Elec),0603WAF5602T5E,C23206
R4,R0603_10K:R0603,1,,YAGEO,RC0603FR-0710KL,C98220
"R7, R8",R0603_1K:R0603,2,,YAGEO,RC0603FR-071KL,C22548
U1,TPS563201:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,,Texas Instruments,TPS563201DDCR,C116592
